"Address","Source Line","Assembly","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","BACLEARS.ANY","BR_INST_RETIRED.ALL_BRANCHES","BR_INST_RETIRED.CONDITIONAL","BR_MISP_RETIRED.ALL_BRANCHES","BR_MISP_RETIRED.CONDITIONAL"
"0x10105f20","0","Block 1:","","","","","","","",""
"0x10105f20","0","sub rsp, 0x28","219","72","49","0","59","44","0","0"
"0x10105f24","0","mov qword ptr [rsp+0x30], rbx","203","53","34","0","107","73","0","0"
"0x10105f29","0","mov ebx, dword ptr [rcx]","352","155","109","0","165","116","0","0"
"0x10105f2b","0","mov qword ptr [rsp+0x38], rbp","17","5","4","0","15","8","0","0"
"0x10105f30","0","mov qword ptr [rsp+0x40], rsi","264","101","61","0","126","92","0","0"
"0x10105f35","0","mov qword ptr [rsp+0x48], rdi","191","88","61","0","77","73","0","0"
"0x10105f3a","0","mov edi, r8d","122","58","39","0","44","38","0","0"
"0x10105f3d","0","mov rbp, rdx","8","3","2","0","9","2","0","0"
"0x10105f40","0","mov rsi, rcx","147","33","27","0","34","30","0","0"
"0x10105f43","0","bts edi, 0x8","88","44","20","0","28","32","0","0"
"0x10105f47","0","data16 nop","104","45","26","0","44","41","0","0"
"0x10105f4a","0","data16 nop","5","3","2","0","4","1","0","0"
"0x10105f4d","0","data16 nop","154","36","19","0","61","17","0","0"
"0x10105f50","0","Block 2:","","","","","","","",""
"0x10105f50","0","mov edx, ebx","2246","994","685","0","399","296","8","3"
"0x10105f52","0","mov r9d, edi","97","55","27","0","44","35","0","0"
"0x10105f55","0","mov ecx, edi","15","7","2","0","3","5","0","0"
"0x10105f57","0","shr ecx, 0x7","161","48","29","0","68","30","0","0"
"0x10105f5a","0","shr r9, 0x8","2485","1139","810","1","375","277","6","5"
"0x10105f5e","0","shr edx, 0xb","126","62","49","0","50","29","0","0"
"0x10105f61","0","movzx r8d, word ptr [rbp+r9*2]","51","24","17","0","8","5","0","0"
"0x10105f67","0","and ecx, 0x1","2409","1243","829","1","497","380","5","4"
"0x10105f6a","0","add edi, edi","1573","679","476","0","313","232","2","4"
"0x10105f6c","0","mov eax, ecx","78","27","33","0","29","18","0","0"
"0x10105f6e","0","neg eax","12","1","2","0","6","2","0","0"
"0x10105f70","0","and ebx, eax","663","285","206","1","122","91","0","0"
"0x10105f72","0","imul edx, r8d","2116","953","646","0","424","302","2","7"
"0x10105f76","0","and eax, edx","1120","601","425","1","253","177","2","4"
"0x10105f78","0","add qword ptr [rsi+0x8], rax","836","384","317","1","150","126","2","1"
"0x10105f7c","0","sub ebx, eax","5098","2481","1761","2","978","681","8","7"
"0x10105f7e","0","dec ecx","15","14","7","0","6","2","0","0"
"0x10105f80","0","mov eax, ecx","2","3","2","0","0","0","0","0"
"0x10105f82","0","and ecx, 0x7e1","72","12","8","0","28","39","0","0"
"0x10105f88","0","sub ecx, r8d","2149","960","705","0","405","263","2","5"
"0x10105f8b","0","and eax, edx","31","14","11","0","8","2","0","0"
"0x10105f8d","0","add ecx, 0x1f","2","1","0","0","0","1","0","0"
"0x10105f90","0","add ebx, eax","135","42","44","0","49","37","0","0"
"0x10105f92","0","sar ecx, 0x5","2139","996","723","0","414","294","3","6"
"0x10105f95","0","add cx, r8w","33","24","12","0","16","6","0","0"
"0x10105f99","0","cmp ebx, 0x1000000","50","41","26","0","8","4","0","0"
"0x10105f9f","0","mov word ptr [rbp+r9*2], cx","117","32","20","0","36","29","0","0"
"0x10105fa5","0","jnb 0x10105fb2 <Block 4>","2658","1247","886","1","521","341","3","7"
"0x10105fa7","0","Block 3:","","","","","","","",""
"0x10105fa7","0","mov rcx, rsi","982","419","306","1","148","98","1","1"
"0x10105faa","0","shl ebx, 0x8","137","69","63","0","23","15","0","0"
"0x10105fad","0","call 0x10105e60","426","178","111","0","64","41","1","0"
"0x10105fb2","0","Block 4:","","","","","","","",""
"0x10105fb2","0","cmp edi, 0x10000","709","338","248","0","117","85","6","4"
"0x10105fb8","0","jb 0x10105f50 <Block 2>","","","","","","","",""
"0x10105fba","0","Block 5:","","","","","","","",""
"0x10105fba","0","mov rdi, qword ptr [rsp+0x48]","49","36","28","0","10","13","0","3"
"0x10105fbf","0","mov rbp, qword ptr [rsp+0x38]","335","189","138","0","63","61","0","2"
"0x10105fc4","0","mov dword ptr [rsi], ebx","50","20","16","0","4","3","0","0"
"0x10105fc6","0","mov rsi, qword ptr [rsp+0x40]","43","24","18","0","5","5","0","0"
"0x10105fcb","0","mov rbx, qword ptr [rsp+0x30]","67","32","27","0","13","7","0","0"
"0x10105fd0","0","add rsp, 0x28","176","84","62","0","22","17","0","0"
"0x10105fd4","0","ret ","22","12","13","0","3","2","1","0"
