"Address","Source Line","Assembly","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","BACLEARS.ANY","BR_INST_RETIRED.ALL_BRANCHES","BR_INST_RETIRED.CONDITIONAL","BR_MISP_RETIRED.CONDITIONAL"
"0x1011cc60","0","Block 1:","0","0","0","0","0","0","0"
"0x1011cc60","0","push rbx","358","100","129","0","33","25","1"
"0x1011cc62","0","sub rsp, 0x70","1","1","3","0","2","0","0"
"0x1011cc66","0","mov r9d, dword ptr [rcx+0x14]","438","145","176","0","74","63","6"
"0x1011cc6a","0","mov rbx, rdx","25","16","8","0","16","17","1"
"0x1011cc6d","0","mov r11, rcx","2","1","3","0","2","1","0"
"0x1011cc70","0","cmp r9d, 0x3","110","34","64","0","64","52","3"
"0x1011cc74","0","jnb 0x1011cc84 <Block 4>","0","0","0","0","0","0","0"
"0x1011cc76","0","Block 2:","0","0","0","0","0","0","0"
"0x1011cc76","0","call 0x1011ef00","0","0","0","0","0","0","0"
"0x1011cc7b","0","Block 3:","0","0","0","0","0","0","0"
"0x1011cc7b","0","mov rax, rbx","0","0","0","0","0","0","0"
"0x1011cc7e","0","add rsp, 0x70","0","0","0","0","0","0","0"
"0x1011cc82","0","pop rbx","0","0","0","0","0","0","0"
"0x1011cc83","0","ret ","0","0","0","0","0","0","0"
"0x1011cc84","0","Block 4:","0","0","0","0","0","0","0"
"0x1011cc84","0","mov r8, qword ptr [rcx]","272","80","120","0","17","26","0"
"0x1011cc87","0","mov qword ptr [rsp+0x88], rbp","14","8","14","1","21","14","0"
"0x1011cc8f","0","xor ebp, ebp","21","9","17","0","23","34","0"
"0x1011cc91","0","mov qword ptr [rsp+0x68], rsi","97","47","57","0","80","72","2"
"0x1011cc96","0","mov qword ptr [rsp+0x60], rdi","439","113","135","0","40","34","2"
"0x1011cc9b","0","movzx eax, byte ptr [r8+0x2]","29","16","15","1","47","34","1"
"0x1011cca0","0","movzx ecx, byte ptr [r8]","9","0","11","0","5","8","0"
"0x1011cca4","0","shl rcx, 0x8","112","34","53","0","107","85","3"
"0x1011cca8","0","or rcx, rax","167","89","146","0","16","21","1"
"0x1011ccab","0","mov qword ptr [rsp+0x58], r12","17","8","18","0","45","40","4"
"0x1011ccb0","0","movzx eax, byte ptr [r8+0x1]","6","5","5","0","5","3","0"
"0x1011ccb5","0","movzx edx, cx","115","51","69","0","172","137","3"
"0x1011ccb8","0","mov qword ptr [rsp+0x50], r13","160","97","119","0","191","174","0"
"0x1011ccbd","0","mov r13d, 0x2","22","11","12","0","46","39","2"
"0x1011ccc3","0","mov qword ptr [rsp+0x48], r14","7","3","2","0","6","3","1"
"0x1011ccc8","0","movzx ecx, word ptr [r11+rax*4+0x78]","109","29","53","0","170","147","3"
"0x1011ccce","0","mov rax, qword ptr [r11+0x28]","380","106","156","0","197","170","9"
"0x1011ccd2","0","xor rdx, rcx","15","7","17","0","25","14","0"
"0x1011ccd5","0","mov edi, dword ptr [rax+rdx*4]","9","3","5","0","14","19","2"
"0x1011ccd8","0","lea rcx, ptr [rax+rdx*4]","5019","1797","2871","1","8562","5541","11"
"0x1011ccdc","0","mov eax, dword ptr [r11+0x8]","170","36","68","0","88","55","0"
"0x1011cce0","0","mov dword ptr [rcx], eax","1","0","3","0","7","2","0"
"0x1011cce2","0","mov ecx, ebp","25","13","14","0","59","38","2"
"0x1011cce4","0","mov rax, qword ptr [r11+0x30]","237","95","139","0","474","341","0"
"0x1011cce8","0","mov edx, dword ptr [r11+0x8]","208","42","63","0","370","368","0"
"0x1011ccec","0","mov esi, dword ptr [r11+0x1c]","3","1","1","0","4","1","0"
"0x1011ccf0","0","mov r8d, dword ptr [r11+0x18]","12","6","7","0","24","15","0"
"0x1011ccf4","0","mov r12d, dword ptr [r11+0x3c]","225","98","159","0","509","293","0"
"0x1011ccf8","0","mov r10, qword ptr [r11]","121","45","64","0","3","4","0"
"0x1011ccfb","0","mov qword ptr [rsp+0x30], rax","3","1","1","0","5","3","0"
"0x1011cd00","0","lea r14, ptr [rax+r8*8]","6","2","5","0","21","12","0"
"0x1011cd04","0","mov qword ptr [rsp+0x40], r15","238","85","166","0","481","304","0"
"0x1011cd09","0","mov eax, edx","115","36","77","0","1","0","0"
"0x1011cd0b","0","mov dword ptr [rsp+0x20], esi","0","1","1","0","4","0","0"
"0x1011cd0f","0","sub eax, esi","9","6","7","0","10","6","0"
"0x1011cd11","0","mov qword ptr [rsp+0x38], r8","237","92","117","0","446","283","0"
"0x1011cd16","0","cmp edx, esi","169","36","66","0","3","2","0"
"0x1011cd18","0","mov dword ptr [rsp+0x24], edx","1","0","3","0","2","0","0"
"0x1011cd1c","0","lea r15, ptr [r14+0x4]","7","5","9","0","19","8","0"
"0x1011cd20","0","mov dword ptr [rsp+0x90], ebp","250","108","144","0","447","303","0"
"0x1011cd27","0","cmovnbe ecx, eax","78","40","57","0","2","4","0"
"0x1011cd2a","0","mov dword ptr [rsp+0x80], ebp","8","7","13","0","22","12","0"
"0x1011cd31","0","mov dword ptr [rsp+0x98], ecx","257","101","136","0","455","284","0"
"0x1011cd38","0","cmp ecx, edi","135","39","67","0","285","302","0"
"0x1011cd3a","0","jnb 0x1011ce3a <Block 22>","0","0","0","0","0","0","0"
"0x1011cd40","0","Block 5:","0","0","0","0","0","0","0"
"0x1011cd40","0","xor eax, eax","443","192","287","0","840","597","3"
"0x1011cd42","0","mov ebp, edx","62","36","57","0","180","119","2"
"0x1011cd44","0","sub ebp, edi","30","13","24","0","63","40","0"
"0x1011cd46","0","mov edx, ebp","647","283","438","0","1168","742","1"
"0x1011cd48","0","cmp rdx, r8","43","26","43","1","79","88","0"
"0x1011cd4b","0","cmovnbe eax, esi","25","14","28","0","40","39","0"
"0x1011cd4e","0","mov ecx, eax","221","109","163","0","478","286","2"
"0x1011cd50","0","mov rax, qword ptr [rsp+0x30]","54","16","29","0","97","79","0"
"0x1011cd55","0","sub rcx, rdx","94","37","50","0","124","99","0"
"0x1011cd58","0","add rcx, r8","42","26","44","0","53","42","0"
"0x1011cd5b","0","mov r8, r10","90","54","80","0","139","103","1"
"0x1011cd5e","0","sub r8, rdx","20","23","26","0","82","47","1"
"0x1011cd61","0","mov edx, dword ptr [rsp+0x80]","11","7","14","0","31","15","0"
"0x1011cd68","0","cmp dword ptr [rsp+0x90], edx","34","8","11","0","48","34","0"
"0x1011cd6f","0","lea rsi, ptr [rax+rcx*8]","187","98","177","0","321","262","0"
"0x1011cd73","0","mov eax, edx","11","15","23","0","58","14","1"
"0x1011cd75","0","cmovb eax, dword ptr [rsp+0x90]","10","4","9","0","7","13","0"
"0x1011cd7d","0","mov ecx, dword ptr [rsi]","93","54","94","2","202","149","0"
"0x1011cd7f","0","mov dword ptr [rsp+0x28], ecx","3345","2220","3250","2","3371","2608","375"
"0x1011cd83","0","movzx ecx, byte ptr [rax+r10*1]","264","198","248","0","220","167","17"
"0x1011cd88","0","cmp byte ptr [rax+r8*1], cl","3","1","1","0","13","7","0"
"0x1011cd8c","0","jnz 0x1011cddb <Block 14>","0","0","0","0","0","0","0"
"0x1011cd8e","0","Block 6:","0","0","0","0","0","0","0"
"0x1011cd8e","0","inc eax","23","15","30","0","38","31","2"
"0x1011cd90","0","cmp eax, r9d","29","20","29","0","51","41","4"
"0x1011cd93","0","jz 0x1011cdc2 <Block 12>","0","0","0","0","0","0","0"
"0x1011cd95","0","Block 7:","0","0","0","0","0","0","0"
"0x1011cd95","0","movzx ecx, byte ptr [rax+r10*1]","8","4","0","0","10","7","0"
"0x1011cd9a","0","cmp byte ptr [rax+r8*1], cl","10","7","14","0","15","11","0"
"0x1011cd9e","0","jnz 0x1011cdc2 <Block 12>","0","0","0","0","0","0","0"
"0x1011cda0","0","Block 8:","0","0","0","0","0","0","0"
"0x1011cda0","0","inc eax","30","15","20","0","43","41","7"
"0x1011cda2","0","cmp eax, r9d","3","3","4","0","6","5","0"
"0x1011cda5","0","jz 0x1011cdc2 <Block 12>","0","0","0","0","0","0","0"
"0x1011cda7","0","Block 9:","0","0","0","0","0","0","0"
"0x1011cda7","0","nop word ptr [rax+rax*1], ax","2","3","0","0","3","3","0"
"0x1011cdb0","0","Block 10:","0","0","0","0","0","0","0"
"0x1011cdb0","0","movzx ecx, byte ptr [rax+r10*1]","28","9","21","0","30","30","0"
"0x1011cdb5","0","cmp byte ptr [rax+r8*1], cl","79","52","85","1","144","126","9"
"0x1011cdb9","0","jnz 0x1011cdc2 <Block 12>","0","0","0","0","0","0","0"
"0x1011cdbb","0","Block 11:","0","0","0","0","0","0","0"
"0x1011cdbb","0","inc eax","86","67","85","0","145","131","6"
"0x1011cdbd","0","cmp eax, r9d","27","13","30","0","47","44","1"
"0x1011cdc0","0","jnz 0x1011cdb0 <Block 10>","58","26","54","0","94","65","0"
"0x1011cdc2","0","Block 12:","0","0","0","0","0","0","0"
"0x1011cdc2","0","cmp r13d, eax","112","60","95","0","165","154","6"
"0x1011cdc5","0","jnb 0x1011cddb <Block 14>","0","0","0","0","0","0","0"
"0x1011cdc7","0","Block 13:","0","0","0","0","0","0","0"
"0x1011cdc7","0","mov dword ptr [rbx], eax","50","46","58","0","77","73","6"
"0x1011cdc9","0","lea ecx, ptr [rbp-0x1]","47","23","47","0","71","63","1"
"0x1011cdcc","0","mov dword ptr [rbx+0x4], ecx","0","0","1","0","0","0","0"
"0x1011cdcf","0","mov r13d, eax","18","7","10","0","25","16","0"
"0x1011cdd2","0","add rbx, 0x8","1","0","0","0","1","0","0"
"0x1011cdd6","0","cmp eax, r9d","0","3","2","0","3","2","0"
"0x1011cdd9","0","jz 0x1011ce29 <Block 20>","0","0","0","0","0","0","0"
"0x1011cddb","0","Block 14:","0","0","0","0","0","0","0"
"0x1011cddb","0","movzx ecx, byte ptr [rax+r10*1]","115","91","145","0","121","117","9"
"0x1011cde0","0","cmp byte ptr [rax+r8*1], cl","153","107","164","0","198","152","7"
"0x1011cde4","0","jnb 0x1011cdf9 <Block 16>","0","0","0","0","0","0","0"
"0x1011cde6","0","Block 15:","0","0","0","0","0","0","0"
"0x1011cde6","0","mov dword ptr [r14], edi","87","51","74","0","87","68","12"
"0x1011cde9","0","lea r14, ptr [rsi+0x4]","118","102","140","0","118","99","19"
"0x1011cded","0","mov edi, dword ptr [r14]","32","20","39","0","25","34","4"
"0x1011cdf0","0","mov dword ptr [rsp+0x80], eax","10","15","19","0","11","6","1"
"0x1011cdf7","0","jmp 0x1011ce08 <Block 17>","29","36","48","0","22","17","3"
"0x1011cdf9","0","Block 16:","0","0","0","0","0","0","0"
"0x1011cdf9","0","mov dword ptr [r15], edi","78","78","95","0","114","96","17"
"0x1011cdfc","0","mov r15, rsi","114","85","131","1","129","101","15"
"0x1011cdff","0","mov edi, dword ptr [rsi]","49","27","42","0","35","19","0"
"0x1011ce01","0","mov dword ptr [rsp+0x90], eax","28","17","20","0","29","14","6"
"0x1011ce08","0","Block 17:","0","0","0","0","0","0","0"
"0x1011ce08","0","add r12d, 0xffffffff","25","25","36","0","45","39","5"
"0x1011ce0c","0","jz 0x1011ce38 <Block 21>","0","0","0","0","0","0","0"
"0x1011ce0e","0","Block 18:","0","0","0","0","0","0","0"
"0x1011ce0e","0","cmp dword ptr [rsp+0x98], edi","32","18","32","0","19","30","1"
"0x1011ce15","0","jnb 0x1011ce38 <Block 21>","0","0","0","0","0","0","0"
"0x1011ce17","0","Block 19:","0","0","0","0","0","0","0"
"0x1011ce17","0","mov r8, qword ptr [rsp+0x38]","106","118","194","0","98","74","7"
"0x1011ce1c","0","mov esi, dword ptr [rsp+0x20]","35","108","157","0","60","70","15"
"0x1011ce20","0","mov edx, dword ptr [rsp+0x24]","14","2","6","0","23","6","0"
"0x1011ce24","0","jmp 0x1011cd40 <Block 5>","13","7","20","0","24","19","2"
"0x1011ce29","0","Block 20:","0","0","0","0","0","0","0"
"0x1011ce29","0","mov eax, dword ptr [rsp+0x28]","0","0","0","0","0","1","0"
"0x1011ce2d","0","mov dword ptr [r14], eax","1","1","0","0","3","5","0"
"0x1011ce30","0","mov eax, dword ptr [rsi+0x4]","0","0","0","0","1","1","0"
"0x1011ce33","0","mov dword ptr [r15], eax","0","0","0","0","0","0","0"
"0x1011ce36","0","jmp 0x1011ce40 <Block 23>","0","0","0","0","1","3","0"
"0x1011ce38","0","Block 21:","0","0","0","0","0","0","0"
"0x1011ce38","0","xor ebp, ebp","51","60","91","1","58","44","5"
"0x1011ce3a","0","Block 22:","0","0","0","0","0","0","0"
"0x1011ce3a","0","mov dword ptr [r14], ebp","150","65","122","0","293","188","0"
"0x1011ce3d","0","mov dword ptr [r15], ebp","288","252","299","0","507","389","12"
"0x1011ce40","0","Block 23:","0","0","0","0","0","0","0"
"0x1011ce40","0","mov ecx, dword ptr [r11+0x8]","204","140","173","0","369","268","3"
"0x1011ce44","0","inc dword ptr [r11+0x18]","77","46","56","0","223","8","2"
"0x1011ce48","0","inc ecx","172","107","177","0","288","170","3"
"0x1011ce4a","0","inc qword ptr [r11]","115","34","56","0","205","10","0"
"0x1011ce4d","0","mov r15, qword ptr [rsp+0x40]","145","109","143","0","282","213","3"
"0x1011ce52","0","mov r14, qword ptr [rsp+0x48]","77","34","59","0","17","6","0"
"0x1011ce57","0","mov r13, qword ptr [rsp+0x50]","7","6","4","0","6","6","1"
"0x1011ce5c","0","mov r12, qword ptr [rsp+0x58]","15","17","15","0","18","22","0"
"0x1011ce61","0","mov rdi, qword ptr [rsp+0x60]","156","89","143","0","243","185","0"
"0x1011ce66","0","mov rsi, qword ptr [rsp+0x68]","98","51","59","0","212","186","0"
"0x1011ce6b","0","mov rbp, qword ptr [rsp+0x88]","2","2","2","0","5","7","1"
"0x1011ce73","0","mov dword ptr [r11+0x8], ecx","17","13","14","0","11","15","0"
"0x1011ce77","0","cmp ecx, dword ptr [r11+0xc]","152","114","116","0","253","190","3"
"0x1011ce7b","0","jnz 0x1011ce85 <Block 25>","0","0","0","0","0","0","0"
"0x1011ce7d","0","Block 24:","0","0","0","0","0","0","0"
"0x1011ce7d","0","mov rcx, r11","0","0","0","0","0","0","0"
"0x1011ce80","0","call 0x1011e880","0","0","0","0","0","0","0"
"0x1011ce85","0","Block 25:","0","0","0","0","0","0","0"
"0x1011ce85","0","mov rax, rbx","77","36","59","0","327","376","0"
"0x1011ce88","0","add rsp, 0x70","3","1","2","0","4","2","0"
"0x1011ce8c","0","pop rbx","9","14","21","0","9","12","0"
"0x1011ce8d","0","ret ","161","87","120","0","232","162","0"
